rank,sub_niche,country,route,currency,records,buyers,repeat_buyers,median_award_value,median_bidders,top_supplier_share_pct,spm_hunt_score,recommended_motion,fulfilment_model,main_live_dce_checks
11,FR · Website redesign / development,FRANCE,OPEN_PUBLIC,EUR,70,61,9,202595.17,,28.57,75.82,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
12,FR · General commercial print production,FRANCE,OPEN_PUBLIC,EUR,557,445,78,380000.0,,1.24,75.61,WATCH,Case-by-case,DCE mandatory
13,FR · Mailing / routing / fulfilment,FRANCE,OPEN_PUBLIC,EUR,219,185,27,500000.0,,3.85,75.32,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
14,CA · Interpretation / sign-language services,CANADA,OPEN_PUBLIC,CAD,34,23,4,164530.8,,10.17,74.64,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
15,FR · Website maintenance / hosting / support,FRANCE,COMPETITIVE_OTHER,EUR,57,54,3,28769.625,,22.22,74.11,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
16,DE · Website relaunch / development,GERMANY,COMPETITIVE_OTHER,EUR,37,20,2,152464.0,3.0,9.09,74.01,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
17,FR · Promotional objects / branded goods,FRANCE,OPEN_PUBLIC,EUR,232,197,26,320000.0,,5.36,73.29,WATCH_AND_BROKER,SPM prime + merchandise/textile supplier,samples; certifications; eco/textile labels; personalization; delivery; stock; reseller/manufacturer constraints; working capital
18,DE · Website maintenance / support,GERMANY,COMPETITIVE_OTHER,EUR,29,16,2,315550.0,3.0,10.0,72.97,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
19,FR · Municipal/public magazine printing,FRANCE,OPEN_PUBLIC,EUR,138,130,8,340000.0,,5.26,72.84,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
20,FR · Brochure / publication / book printing,FRANCE,OPEN_PUBLIC,EUR,123,107,8,341666.67,,7.14,72.34,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
21,FR · Forms / stationery / cards printing,FRANCE,OPEN_PUBLIC,EUR,94,86,8,400000.0,,6.25,72.13,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
22,FR · Stenotypy / stenography,FRANCE,OPEN_PUBLIC,EUR,31,26,4,101867.5,,21.43,71.93,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
23,QC · Permits / forms / stationery printing,CANADA - QUEBEC,OPEN_PUBLIC,CAD,29,14,4,137885.49,2.0,20.69,71.78,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
24,FR · General graphic design,FRANCE,COMPETITIVE_OTHER,EUR,29,26,1,305070.0,,33.33,71.26,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
25,FR · Website redesign / development,FRANCE,COMPETITIVE_OTHER,EUR,36,35,1,44857.44,,25.0,71.13,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
26,CA · Written translation,CANADA,COMPETITIVE_OTHER,CAD,14,6,2,113000.0,,23.53,70.31,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
27,FR · Meeting / debate transcription,FRANCE,COMPETITIVE_OTHER,EUR,17,16,1,50000.0,,40.0,68.45,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
28,FR · Written translation,FRANCE,COMPETITIVE_OTHER,EUR,15,14,1,10000.0,,100.0,67.26,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
29,DE · Website hosting / operation,GERMANY,OPEN_PUBLIC,EUR,14,6,2,585920.0,4.0,20.0,67.17,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
30,FR · Drupal / WordPress / CMS implementation,FRANCE,OPEN_PUBLIC,EUR,15,13,2,665440.5,,14.29,66.9,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
31,FR · Publication layout / DTP,FRANCE,COMPETITIVE_OTHER,EUR,14,13,1,10000.0,,50.0,66.78,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
32,FR · Visual identity / branding,FRANCE,COMPETITIVE_OTHER,EUR,14,14,0,70000.0,,33.33,65.29,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
33,FR · Visual identity / branding,FRANCE,OPEN_PUBLIC,EUR,21,21,0,1136100.0,,33.33,65.07,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
34,FR · Communication collateral printing,FRANCE,COMPETITIVE_OTHER,EUR,28,27,1,48495.0,,20.0,64.04,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
35,CA · Interpretation / sign-language services,CANADA,COMPETITIVE_OTHER,CAD,5,2,2,119308.405,,50.0,63.24,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
36,DE · TYPO3 / Drupal / WordPress CMS,GERMANY,OPEN_PUBLIC,EUR,22,4,0,421255.8,3.0,33.33,63.07,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
37,DE · Web accessibility / Barrierefreiheit,GERMANY,OPEN_PUBLIC,EUR,12,1,1,,11.0,100.0,61.44,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
38,FR · General commercial print production,FRANCE,COMPETITIVE_OTHER,EUR,25,24,1,33500.0,,50.0,61.39,WATCH,Case-by-case,DCE mandatory
39,QC · Brochure / publication printing,CANADA - QUEBEC,OPEN_PUBLIC,CAD,9,6,2,167761.0,3.0,66.67,61.04,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
40,FR · Brochure / publication / book printing,FRANCE,COMPETITIVE_OTHER,EUR,17,15,1,70000.0,,25.0,60.6,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
