rank,sub_niche,country,route,currency,records,buyers,repeat_buyers,median_award_value,median_bidders,top_supplier_share_pct,spm_hunt_score,recommended_motion,fulfilment_model,main_live_dce_checks
13,FR · General commercial print production,FRANCE,OPEN_PUBLIC,EUR,557,445,78,380000.0,,1.24,75.61,WATCH,Case-by-case,DCE mandatory
14,FR · Mailing / routing / fulfilment,FRANCE,OPEN_PUBLIC,EUR,219,185,27,500000.0,,3.85,74.79,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
15,CA · Interpretation / sign-language services,CANADA,OPEN_PUBLIC,CAD,34,23,4,164530.8,,10.17,74.28,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
16,FR · Website maintenance / hosting / support,FRANCE,COMPETITIVE_OTHER,EUR,57,54,3,28769.625,,22.22,74.11,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
17,DE · Website relaunch / development,GERMANY,COMPETITIVE_OTHER,EUR,37,20,2,152464.0,3.0,9.09,73.65,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
18,FR · Promotional objects / branded goods,FRANCE,OPEN_PUBLIC,EUR,230,196,25,320000.0,,5.36,72.78,WATCH_AND_BROKER,SPM prime + merchandise/textile supplier,samples; certifications; eco/textile labels; personalization; delivery; stock; reseller/manufacturer constraints; working capital
19,FR · Human interpreting,FRANCE,COMPETITIVE_OTHER,EUR,32,29,3,28800.0,,14.29,72.72,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
20,FR · Municipal/public magazine printing,FRANCE,OPEN_PUBLIC,EUR,138,130,8,340000.0,,5.26,72.46,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
21,DE · Website maintenance / support,GERMANY,COMPETITIVE_OTHER,EUR,29,16,2,315550.0,3.0,10.0,72.35,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
22,FR · Brochure / publication / book printing,FRANCE,OPEN_PUBLIC,EUR,123,107,8,341666.67,,7.14,72.08,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
23,QC · Permits / forms / stationery printing,CANADA - QUEBEC,OPEN_PUBLIC,CAD,29,14,4,137885.49,2.0,20.69,71.16,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
24,FR · Website redesign / development,FRANCE,COMPETITIVE_OTHER,EUR,36,35,1,44857.44,,25.0,71.13,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
25,FR · General graphic design,FRANCE,COMPETITIVE_OTHER,EUR,29,26,1,305070.0,,33.33,71.0,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
26,CA · Written translation,CANADA,COMPETITIVE_OTHER,CAD,14,6,2,113000.0,,23.53,69.88,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
27,FR · Meeting / debate transcription,FRANCE,COMPETITIVE_OTHER,EUR,17,16,1,50000.0,,40.0,67.4,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
28,DE · Website hosting / operation,GERMANY,OPEN_PUBLIC,EUR,14,6,2,585920.0,4.0,20.0,66.74,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
29,FR · Written translation,FRANCE,COMPETITIVE_OTHER,EUR,15,14,1,10000.0,,100.0,66.21,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
30,FR · Publication layout / DTP,FRANCE,COMPETITIVE_OTHER,EUR,14,13,1,10000.0,,50.0,65.87,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
31,FR · Drupal / WordPress / CMS implementation,FRANCE,OPEN_PUBLIC,EUR,15,13,2,665440.5,,14.29,65.85,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
32,FR · Forms / stationery / cards printing,FRANCE,COMPETITIVE_OTHER,EUR,27,24,3,47534.0,,16.67,65.54,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
33,FR · Visual identity / branding,FRANCE,COMPETITIVE_OTHER,EUR,14,14,0,70000.0,,33.33,64.39,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
34,FR · Visual identity / branding,FRANCE,OPEN_PUBLIC,EUR,21,21,0,1136100.0,,33.33,64.14,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
35,FR · Communication collateral printing,FRANCE,COMPETITIVE_OTHER,EUR,28,27,1,48495.0,,20.0,63.66,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
36,CA · Interpretation / sign-language services,CANADA,COMPETITIVE_OTHER,CAD,5,2,2,119308.405,,50.0,63.24,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
37,FR · Stenotypy / stenography,FRANCE,OPEN_PUBLIC,EUR,24,19,4,5620.0,,20.0,62.98,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
38,DE · TYPO3 / Drupal / WordPress CMS,GERMANY,OPEN_PUBLIC,EUR,22,4,0,421255.8,3.0,33.33,62.5,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
39,DE · Web accessibility / Barrierefreiheit,GERMANY,OPEN_PUBLIC,EUR,12,1,1,,11.0,100.0,61.01,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
40,QC · Brochure / publication printing,CANADA - QUEBEC,OPEN_PUBLIC,CAD,9,6,2,167761.0,3.0,66.67,60.9,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
